!!!ObjTables DocumentName='' Name='' ObjTablesVersion='1.0' Date='2021-3-30' schema='SBtab' objTablesVersion='1.0.1'
!!ObjTables TableID='compartment' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compartment' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compartment' name='Compartment' objTablesVersion='1.0.1'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular space	nan		
p	periplasm	nan		

!!ObjTables TableID='compound' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compound' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compound' name='Compound' objTablesVersion='1.0.1'
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:bigg_metabolite	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:inchi_key	!Identifiers:kegg_compound	!Identifiers:metanetx_chemical	!Identifiers:reactome_compound	!Identifiers:sabiork	!Identifiers:seed_compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg_drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:slm	!Identifiers:kegg_glycan
R_AKGDH	2-Oxogluterate dehydrogenase	M_akg_c + M_coa_c + M_nad_c <=> M_co2_c + M_nadh_c + M_succoa_c				SBO:0000176	False	(G_b0727 and G_b0116 and G_b0726)	cobra_0_bound	cobra_default_ub	AKGDH	META:2OXOGLUTARATEDEH-RXN	1.2.4.2	R08549	MNXR95655	27787	8163	rxn08094	R-GGA-71401
R_ATPPRT	ATP phosphoribosyltransferase	M_atp_c + M_prpp_c <=> M_ppi_c + M_prbatp_c				SBO:0000176	False	G_b2019	cobra_0_bound	cobra_default_ub	ATPPRT	META:ATPPHOSPHORIBOSYLTRANS-RXN	2.4.2.17	R01071	MNXR96132	18474		rxn00789	
R_HISTD	Histidinol dehydrogenase	M_h2o_c + M_histd_c + 2.0 M_nad_c <=> 3.0 M_h_c + M_his__L_c + 2.0 M_nadh_c				SBO:0000176	False	G_b2020	cobra_0_bound	cobra_default_ub	HISTD	META:RXN-8001	1.1.1.23	R01158	MNXR100587	20644	1398	rxn00859	
R_DHDPS	Dihydrodipicolinate synthase	M_aspsa_c + M_pyr_c <=> M_23dhdp_c + 2.0 M_h2o_c + M_h_c				SBO:0000176	False	G_b2478	cobra_0_bound	cobra_default_ub	DHDPS				MNXR125801	14845	2256	rxn01644	
R_IGPDH	Imidazoleglycerol-phosphate dehydratase	M_eig3p_c <=> M_h2o_c + M_imacp_c				SBO:0000176	False	G_b2022	cobra_0_bound	cobra_default_ub	IGPDH	META:IMIDPHOSDEHYD-RXN	4.2.1.19	R03457	MNXR100813	11042		rxn02473	
R_PRPPS	Phosphoribosylpyrophosphate synthetase	M_atp_c + M_r5p_c <=> M_amp_c + M_h_c + M_prpp_c				SBO:0000176	True	G_b1207	cobra_default_lb	cobra_default_ub	PRPPS		2.7.6.1		MNXR103215				
R_PRATPP	Phosphoribosyl-ATP pyrophosphatase	M_h2o_c + M_prbatp_c <=> M_h_c + M_ppi_c + M_prbamp_c				SBO:0000176	False	G_b2026	cobra_0_bound	cobra_default_ub	PRATPP	META:HISTPRATPHYD-RXN	3.6.1.31	R04035	MNXR103155	22831		rxn02834	
R_GLUN	Glutaminase	M_gln__L_c + M_h2o_c <=> M_glu__L_c + M_nh4_c				SBO:0000176	False	(G_b0485 or G_b1524)	cobra_0_bound	cobra_default_ub	GLUN	META:GLUTAMIN-RXN	3.5.1.38	R00256	MNXR100030	15890	762	rxn00189	R-CFA-70609
R_PRMICI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	M_prfp_c <=> M_prlp_c				SBO:0000176	True	G_b2024	cobra_default_lb	cobra_default_ub	PRMICI	META:PRIBFAICARPISOM-RXN	5.3.1.16	R04640	MNXR103169	15470		rxn03175	
R_GLUPRT	Glutamine phosphoribosyldiphosphate amidotransferase	M_gln__L_c + M_h2o_c + M_prpp_c <=> M_glu__L_c + M_ppi_c + M_pram_c				SBO:0000176	False	G_b2312	cobra_0_bound	cobra_default_ub	GLUPRT	META:PRPPAMIDOTRANS-RXN	2.4.2.14	R01072	MNXR100287	14907	114	rxn00790	R-HSA-73815
R_SERAT	Serine O-acetyltransferase	M_accoa_c + M_ser__L_c <=> M_acser_c + M_coa_c				SBO:0000176	True	G_b3607	cobra_default_lb	cobra_default_ub	SERAT	META:SERINE-O-ACETTRAN-RXN	2.3.1.30	R00586	MNXR104275	24561	986	rxn00423	R-MTU-936615
R_CYSS	Cysteine synthase	M_acser_c + M_h2s_c <=> M_ac_c + M_cys__L_c + M_h_c				SBO:0000176	False	(G_b2421 or G_b2414)	cobra_0_bound	cobra_default_ub	CYSS	META:ACSERLY-RXN	2.5.1.65	R00897	MNXR97007	14832	1220	rxn00649	
R_BPNT	3',5'-bisphosphate nucleotidase	M_h2o_c + M_pap_c <=> M_amp_c + M_pi_c				SBO:0000176	False	G_b4214	cobra_0_bound	cobra_default_ub	BPNT	META:325-BISPHOSPHATE-NUCLEOTIDASE-RXN	3.1.3.97	R00188	MNXR96321	10042	736	rxn11357	R-MMU-176606
R_PAPSR	Phosphoadenylyl-sulfate reductase (thioredoxin)	M_paps_c + M_trdrd_c <=> 2.0 M_h_c + M_pap_c + M_so3_c + M_trdox_c				SBO:0000176	False	((G_b2582 and G_b2762) or (G_b3781 and G_b2762))	cobra_0_bound	cobra_default_ub	PAPSR	META:1.8.4.8-RXN	1.8.4.8	R02021	MNXR102376			rxn05239	
R_ASPK	Aspartate kinase	M_asp__L_c + M_atp_c <=> M_4pasp_c + M_adp_c				SBO:0000176	True	(G_b0002 or G_b3940 or G_b4024)	cobra_default_lb	cobra_default_ub	ASPK	META:ASPARTATEKIN-RXN	2.7.2.4	R00480	MNXR96085	23778	912	rxn00337	
R_ASAD	Aspartate-semialdehyde dehydrogenase	M_aspsa_c + M_nadp_c + M_pi_c <=> M_4pasp_c + M_h_c + M_nadph_c				SBO:0000176	True	G_b3433	cobra_default_lb	cobra_default_ub	ASAD	META:ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	1.2.1.11	R02291	MNXR96039	24287	2255	rxn01643	
R_DAPDC	Diaminopimelate decarboxylase	M_26dap__M_c + M_h_c <=> M_co2_c + M_lys__L_c				SBO:0000176	False	G_b2838	cobra_0_bound	cobra_default_ub	DAPDC	META:DIAMINOPIMDECARB-RXN	4.1.1.20	R00451	MNXR97141	15103		rxn00313	
R_OCBT	Ornithine carbamoyltransferase	M_cbp_c + M_orn_c <=> M_citr__L_c + M_h_c + M_pi_c				SBO:0000176	True	(G_b4254 or G_b0273)	cobra_default_lb	cobra_default_ub	OCBT	META:ORNCARBAMTRANSFER-RXN	2.1.3.3	R01398	MNXR102137	19515	98	rxn01019	R-SCE-70560
R_GARFT	Phosphoribosylglycinamide formyltransferase	M_10fthf_c + M_gar_c <=> M_fgam_c + M_h_c + M_thf_c				SBO:0000176	True	G_b2500	cobra_default_lb	cobra_default_ub	GARFT		2.1.2.2	R04325	MNXR99623	15056			
R_PHETA1	Phenylalanine transaminase	M_akg_c + M_phe__L_c <=> M_glu__L_c + M_phpyr_c				SBO:0000176	True	(G_b4054 or G_b0928 or G_b3770)	cobra_default_lb	cobra_default_ub	PHETA1	META:RXN-10814	2.6.1.1	R00694	MNXR126234	25154	1074	rxn00493	
R_PPND	Prephenate dehydrogenase	M_nad_c + M_pphn_c <=> M_34hpp_c + M_co2_c + M_nadh_c				SBO:0000176	False	G_b2600	cobra_0_bound	cobra_default_ub	PPND	META:PREPHENATEDEHYDROG-RXN	1.3.1.12	R01728	MNXR103121	13871	1839	rxn01268	
R_PRAMPC	Phosphoribosyl-AMP cyclohydrolase	M_h2o_c + M_prbamp_c <=> M_prfp_c				SBO:0000176	False	G_b2026	cobra_0_bound	cobra_default_ub	PRAMPC	META:HISTCYCLOHYD-RXN	3.5.4.19	R04037	MNXR103154	20052		rxn02835	
R_GLYCK2	Glycerate kinase	M_atp_c + M_glyc__R_c <=> M_2pg_c + M_adp_c + M_h_c				SBO:0000176	False	G_b3124	cobra_0_bound	cobra_default_ub	GLYCK2	META:GKI-RXN	2.7.1.165	R08572	MNXR100329	27377	11393	rxn08647	
R_ACOTA	Acetylornithine transaminase	M_acorn_c + M_akg_c <=> M_acg5sa_c + M_glu__L_c				SBO:0000176	True	(G_b1748 or G_b3359 or G_b2662 or G_b1302)	cobra_default_lb	cobra_default_ub	ACOTA	META:ACETYLORNTRANSAM-RXN	2.6.1.11	R02283	MNXR95388	18049	2248	rxn01637	
R_SULR	Sulfite reductase (NADPH2)	5.0 M_h_c + 3.0 M_nadph_c + M_so3_c <=> 3.0 M_h2o_c + M_h2s_c + 3.0 M_nadp_c				SBO:0000176	False	(G_b2764 and G_b2763)	cobra_0_bound	cobra_default_ub	SULR	META:SULFITE-REDUCT-RXN	1.8.1.2	R00858	MNXR104650	13801		rxn00623	
R_PRAGSr	Phosphoribosylglycinamide synthase	M_atp_c + M_gly_c + M_pram_c <=> M_adp_c + M_gar_c + M_h_c + M_pi_c				SBO:0000176	True	G_b4005	cobra_default_lb	cobra_default_ub	PRAGSr	META:GLYRIBONUCSYN-RXN	6.3.4.13	R04144	MNXR103139			rxn02895	
R_PRFGS	Phosphoribosylformylglycinamidine synthase	M_atp_c + M_fgam_c + M_gln__L_c + M_h2o_c <=> M_adp_c + M_fpram_c + M_glu__L_c + M_h_c + M_pi_c				SBO:0000176	False	G_b2557	cobra_0_bound	cobra_default_ub	PRFGS		6.3.5.3		MNXR138721	17130			R-OSA-73812
R_PSERT	Phosphoserine transaminase	M_3php_c + M_glu__L_c <=> M_akg_c + M_pser__L_c				SBO:0000176	False	G_b0907	cobra_0_bound	cobra_default_ub	PSERT	META:PSERTRANSAM-RXN	2.6.1.52	R04173	MNXR103225	14332	3893	rxn02914	R-SSC-977333
R_AIRC2	Phosphoribosylaminoimidazole carboxylase	M_air_c + M_atp_c + M_hco3_c <=> M_5caiz_c + M_adp_c + M_h_c + M_pi_c				SBO:0000176	False	G_b0522	cobra_0_bound	cobra_default_ub	AIRC2		6.3.4.18		MNXR95644	19317			
R_GAPD	Glyceraldehyde-3-phosphate dehydrogenase	M_g3p_c + M_nad_c + M_pi_c <=> M_13dpg_c + M_h_c + M_nadh_c				SBO:0000176	True	G_b1779	cobra_default_lb	cobra_default_ub	GAPD	META:GAPOXNPHOSPHN-RXN	1.2.1.59	R01061	MNXR100040	10301	7844	rxn00781	R-BTA-70482
R_GND	Phosphogluconate dehydrogenase	M_6pgc_c + M_nadp_c <=> M_co2_c + M_nadph_c + M_ru5p__D_c				SBO:0000176	False	G_b2029	cobra_0_bound	cobra_default_ub	GND	META:RXN-9952	1.1.1.351	R01528	MNXR100389	10119	108	rxn01115	R-CEL-71299
R_G6PDH2r	Glucose 6-phosphate dehydrogenase	M_g6p_c + M_nadp_c <=> M_6pgl_c + M_h_c + M_nadph_c				SBO:0000176	True	G_b1852	cobra_default_lb	cobra_default_ub	G6PDH2r	META:GLU6PDEHYDROG-RXN	1.1.1.49	R00835	MNXR99907	15844	6509	rxn00604	
R_ME2	Malic enzyme (NADP)	M_mal__L_c + M_nadp_c <=> M_co2_c + M_nadph_c + M_pyr_c				SBO:0000176	False	G_b2463	cobra_0_bound	cobra_default_ub	ME2	META:MALIC-NADP-RXN	1.1.1.40	R00216	MNXR101443	18253	142	rxn00161	
R_ARGSL	Argininosuccinate lyase	M_argsuc_c <=> M_arg__L_c + M_fum_c				SBO:0000176	True	G_b3960	cobra_default_lb	cobra_default_ub	ARGSL	META:ARGSUCCINLYA-RXN	4.3.2.1	R01086	MNXR138059	24023	573	rxn00802	R-DME-70573
R_CBPS	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	2.0 M_atp_c + M_gln__L_c + M_h2o_c + M_hco3_c <=> 2.0 M_adp_c + M_cbp_c + M_glu__L_c + 2.0 M_h_c + M_pi_c				SBO:0000176	False	(G_b0032 and G_b0033)	cobra_0_bound	cobra_default_ub	CBPS	META:CARBPSYN-RXN	6.3.5.5	R00575	MNXR96485	18634	203	rxn00414	R-DME-73577
R_GLU5K	Glutamate 5-kinase	M_atp_c + M_glu__L_c <=> M_adp_c + M_glu5p_c				SBO:0000176	False	G_b0242	cobra_0_bound	cobra_default_ub	GLU5K	META:GLUTKIN-RXN	2.7.2.11	R00239	MNXR100277	14879	752	rxn00179	
R_IPPS	2-isopropylmalate synthase	M_3mob_c + M_accoa_c + M_h2o_c <=> M_3c3hmp_c + M_coa_c + M_h_c				SBO:0000176	False	G_b0074	cobra_0_bound	cobra_default_ub	IPPS	META:2-ISOPROPYLMALATESYN-RXN	2.3.3.13	R01213	MNXR100879	21526		rxn00902	
R_ACOATA	Acetyl-CoA ACP transacylase	M_ACP_c + M_accoa_c <=> M_acACP_c + M_coa_c				SBO:0000176	True	(G_b1094 and G_b1091)	cobra_default_lb	cobra_default_ub	ACOATA	META:ACP-S-ACETYLTRANSFER-RXN	2.3.1.41	R01624	MNXR95376			rxn05349	
R_ACtex	Acetate transport via diffusion (extracellular to periplasm)	M_ac_e <=> M_ac_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	ACtex	META:TRANS-RXN0-567			MNXR95431	27815	12184	rxn08063	
R_ACALDtex	Acetaldehyde transport via diffusion (extracellular to periplasm)	M_acald_e <=> M_acald_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	ACALDtex				MNXR95212			rxn08032	R-HSA-449872
R_PSP_L	Phosphoserine phosphatase (L-serine)	M_h2o_c + M_pser__L_c <=> M_pi_c + M_ser__L_c				SBO:0000176	False	G_b4388	cobra_0_bound	cobra_default_ub	PSP_L	META:RXN0-5114	3.1.3.3	R00582	MNXR103260	21209	983	rxn00420	R-TGU-977324
R_ADSK	Adenylyl-sulfate kinase	M_aps_c + M_atp_c <=> M_adp_c + M_h_c + M_paps_c				SBO:0000176	False	G_b2750	cobra_0_bound	cobra_default_ub	ADSK	META:ADENYLYLSULFKIN-RXN	2.7.1.25	R00509	MNXR95159	24153	237	rxn00361	R-BTA-174389
R_SUCCt2_2pp	Succinate transport via proton symport (2 H) (periplasm)	2.0 M_h_p + M_succ_p <=> 2.0 M_h_c + M_succ_c				SBO:0000185	False	(G_b3528 or G_b0010)	cobra_0_bound	cobra_default_ub	SUCCt2_2pp	META:TRANS-RXN-121			MNXR104620	29303		rxn09269	
R_HSDy	Homoserine dehydrogenase (NADPH)	M_hom__L_c + M_nadp_c <=> M_aspsa_c + M_h_c + M_nadph_c				SBO:0000176	True	(G_b3940 or G_b0002)	cobra_default_lb	cobra_0_bound	HSDy		1.1.1.3	R01775	MNXR100734	15762	1868	rxn01302	
R_CYSTL	Cystathionine b-lyase	M_cyst__L_c + M_h2o_c <=> M_hcys__L_c + M_nh4_c + M_pyr_c				SBO:0000176	False	(G_b3008 or G_b1622)	cobra_0_bound	cobra_default_ub	CYSTL		4.4.1.8	R01286	MNXR96469	13966	1501		
R_SHSL1	O-succinylhomoserine lyase (L-cysteine)	M_cys__L_c + M_suchms_c <=> M_cyst__L_c + M_h_c + M_succ_c				SBO:0000176	False	G_b3939	cobra_0_bound	cobra_default_ub	SHSL1	META:O-SUCCHOMOSERLYASE-RXN	2.5.1.48	R03260	MNXR104380	20397	3081		
R_SULabcpp	Sulfate transport via ABC system (periplasm)	M_atp_c + M_h2o_c + M_so4_p <=> M_adp_c + M_h_c + M_pi_c + M_so4_c				SBO:0000185	False	((G_b2423 and G_b2424 and G_b2422 and G_b2425) or (G_b0764 and G_b0765 and G_b0763) or (G_b2422 and G_b2423 and G_b2424 and G_b3917))	cobra_0_bound	cobra_default_ub	SULabcpp	META:ABC-70-RXN	3.6.3.25		MNXR104655	10195#1		rxn05153	
R_GLUtex	L-glutamate transport via diffusion (extracellular to periplasm)	M_glu__L_e <=> M_glu__L_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	GLUtex	META:TRANS-RXN-232			MNXR100301		12283	rxn10917	R-BTA-210439
R_AKGt2rpp	2-oxoglutarate reversible transport via symport (periplasm)	M_akg_p + M_h_p <=> M_akg_c + M_h_c				SBO:0000185	True	G_b2587	cobra_default_lb	cobra_default_ub	AKGt2rpp	META:TRANS-RXN-23			MNXR95661	29014		rxn09827	
R_XYLt2pp	D-xylose transport in via proton symport (periplasm)	M_h_p + M_xyl__D_p <=> M_h_c + M_xyl__D_c				SBO:0000185	False	G_b4031	cobra_0_bound	cobra_default_ub	XYLt2pp				MNXR105271	28961		rxn09384	
R_GLYCtex	Glycerol transport via diffusion (extracellular to periplasm)	M_glyc_e <=> M_glyc_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	GLYCtex	META:TRANS-RXN-131			MNXR100343	29675		rxn08658	R-DRE-507871
R_Htex	Proton transport via diffusion (extracellular to periplasm)	M_h_e <=> M_h_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	Htex	META:RXN-14452			MNXR100765	34979		rxn08730	R-DME-170026
R_H2Otex	H2O transport via diffusion (extracellular to periplasm)	M_h2o_e <=> M_h2o_p				SBO:0000185	True	(G_b3875 or G_s0001 or G_b1319 or G_b0957 or G_b2215 or G_b0241 or G_b1377 or G_b0929)	cobra_default_lb	cobra_default_ub	H2Otex	META:TRANS-RXN0-547			MNXR98641	29670		rxn05319	R-RNO-445714
R_O2tpp	O2 transport via diffusion (periplasm)	M_o2_p <=> M_o2_c				SBO:0000185	True	G_s0001	cobra_default_lb	cobra_default_ub	O2tpp	META:TRANS-RXN0-474			MNXR102090			rxn09734	
R_PYRt2rpp	Pyruvate reversible transport via proton symport (periplasm)	M_h_p + M_pyr_p <=> M_h_c + M_pyr_c				SBO:0000185	True		cobra_default_lb	cobra_default_ub	PYRt2rpp				MNXR103385			rxn09217	R-GGA-372359
R_THD2pp	NAD(P) transhydrogenase (periplasm)	M_h_p + M_nadh_c + M_nadp_c <=> M_h_c + M_nad_c + M_nadph_c				SBO:0000185	False	(G_b1602 and G_b1603)	cobra_0_bound	cobra_default_ub	THD2pp		1.6.1.1		MNXR104805			rxn09295	
R_TKT2	Transketolase	M_e4p_c + M_xu5p__D_c <=> M_f6p_c + M_g3p_c				SBO:0000176	True	(G_b2935 or G_b2465)	cobra_default_lb	cobra_default_ub	TKT2	META:2TRANSKETO-RXN	2.2.1.1	R01830	MNXR104869	27629			
R_ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	M_adp_c + 4.0 M_h_p + M_pi_c <=> M_atp_c + M_h2o_c + 3.0 M_h_c				SBO:0000185	True	((G_b3739 and G_b3731 and G_b3733 and G_b3735 and G_b3734 and G_b3732 and G_b3738 and G_b3736 and G_b3737) or (G_b3731 and G_b3733 and G_b3735 and G_b3734 and G_b3732 and G_b3738 and G_b3736 and G_b3737))	cobra_default_lb	cobra_default_ub	ATPS4rpp	META:ATPSYN-RXN	3.6.3.14		MNXR96136			rxn10042	
R_CO2tpp	CO2 transporter via diffusion (periplasm)	M_co2_p <=> M_co2_c				SBO:0000185	True	G_s0001	cobra_default_lb	cobra_default_ub	CO2tpp	META:TRANS-RXN0-545			MNXR96810			rxn09860	R-ATH-1247649
R_GK1	Guanylate kinase (GMP:ATP)	M_atp_c + M_gmp_c <=> M_adp_c + M_gdp_c				SBO:0000176	True	G_b3648	cobra_default_lb	cobra_default_ub	GK1	META:GUANYL-KIN-RXN	2.7.4.8	R00332	MNXR100144	20781	77	rxn00239	
R_GLCNtex	D-gluconate transport via diffusion (extracellular to periplasm)	M_glcn_e <=> M_glcn_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	GLCNtex				MNXR100210		13786	rxn08610	
R_GLNtex	L-glutamine transport via diffusion (extracellular to periplasm)	M_gln__L_e <=> M_gln__L_p				SBO:0000185	True	(G_b0929 or G_b1377 or G_b2215 or G_b0241)	cobra_default_lb	cobra_default_ub	GLNtex	META:TRANS-RXN-233			MNXR100259		13421	rxn10928	R-SCE-212614
R_O2tex	Oxygen transport via diffusion (extracellular to periplasm)	M_o2_e <=> M_o2_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	O2tex	META:TRANS-RXN0-474			MNXR102090			rxn09734	
R_D_LACtex	D-lactate transport via diffusion (extracellular to periplasm)	M_lac__D_e <=> M_lac__D_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	D_LACtex				MNXR97840		12471	rxn08351	
R_GLCtex_copy1	Glucose transport via diffusion (extracellular to periplasm)	M_glc__D_e <=> M_glc__D_p				SBO:0000176	False	G_b4036	cobra_0_bound	cobra_default_ub	GLCtex	META:TRANS-RXN0-574			MNXR100188		601	rxn08617	
R_FUMt2_2pp	Fumarate transport via proton symport (2 H) (periplasm)	M_fum_p + 2.0 M_h_p <=> M_fum_c + 2.0 M_h_c				SBO:0000185	False	G_b3528	cobra_0_bound	cobra_default_ub	FUMt2_2pp	META:TRANS-RXN-121B			MNXR99711	29331		rxn10152	
R_PItex	Phosphate transport via diffusion (extracellular to periplasm)	M_pi_e <=> M_pi_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	PItex	META:TRANS-RXN0-470			MNXR102871	32823	10985	rxn13178	
R_CYTBDpp	Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)	4.0 M_h_c + M_o2_c + 2.0 M_q8h2_c <=> 2.0 M_h2o_c + 4.0 M_h_p + 2.0 M_q8_c				SBO:0000185	False	((G_b0978 and G_b0979) or (G_b0734 and G_b0733 and G_b4515))	cobra_0_bound	cobra_default_ub	CYTBDpp				MNXR97031			rxn08288	
R_CYTBD2pp	Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm)	4.0 M_h_c + 2.0 M_mql8_c + M_o2_c <=> 2.0 M_h2o_c + 4.0 M_h_p + 2.0 M_mqn8_c				SBO:0000185	False	(G_b0978 and G_b0979)	cobra_0_bound	cobra_default_ub	CYTBD2pp				MNXR97032			rxn10806	
R_ACALDtpp	Acetaldehyde reversible transport (periplasm)	M_acald_p <=> M_acald_c				SBO:0000185	True	G_s0001	cobra_default_lb	cobra_default_ub	ACALDtpp				MNXR95212			rxn08032	R-HSA-449872
R_ACt2rpp	Acetate reversible transport via proton symport (periplasm)	M_ac_p + M_h_p <=> M_ac_c + M_h_c				SBO:0000185	True	G_b0010	cobra_default_lb	cobra_default_ub	ACt2rpp	META:TRANS-RXN0-571			MNXR95429			rxn05488	
R_METS	Methionine synthase	M_5mthf_c + M_hcys__L_c <=> M_h_c + M_met__L_c + M_thf_c				SBO:0000176	False	(G_b4019 or G_b3829)	cobra_0_bound	cobra_default_ub	METS		2.1.1.13	R00946	MNXR101481	11172	1260		
R_EX_glyc__R_e	(R)-Glycerate exchange	M_glyc__R_e <=> 				SBO:0000627	False		cobra_0_bound	cobra_default_ub	EX_glyc__R_e	META:TRANS-RXN0-523			MNXR100323			rxn08645	
R_FRUtex	D-fructose transport via diffusion (extracellular to periplasm)	M_fru_e <=> M_fru_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	FRUtex				MNXR99663		13415	rxn08537	R-DDI-189222
R_FUMtex	Fumarate transport via diffusion (extracellular to periplasm)	M_fum_e <=> M_fum_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	FUMtex	META:TRANS-RXN0-553			MNXR99715			rxn11013	
R_PRASCSi	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	M_5aizc_c + M_asp__L_c + M_atp_c <=> M_25aics_c + M_adp_c + M_h_c + M_pi_c				SBO:0000176	False	G_b2476	cobra_0_bound	cobra_default_ub	PRASCSi	META:SAICARSYN-RXN	6.3.2.6	R04591	MNXR108987	22630			R-SSC-73805
R_MTHFC	Methenyltetrahydrofolate cyclohydrolase	M_h2o_c + M_methf_c <=> M_10fthf_c + M_h_c				SBO:0000176	True	G_b0529	cobra_default_lb	cobra_default_ub	MTHFC		1.5.1.15	R01655	MNXR101748	23703	74	rxn01211	R-XTR-6801462
R_MTHFD	Methylenetetrahydrofolate dehydrogenase (NADP)	M_mlthf_c + M_nadp_c <=> M_methf_c + M_nadph_c				SBO:0000176	True	G_b0529	cobra_default_lb	cobra_default_ub	MTHFD		1.5.1.5	R01220	MNXR101749	22812			
R_XYLtex	D-xylose transport via diffusion (extracellular to periplasm)	M_xyl__D_e <=> M_xyl__D_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	XYLtex				MNXR105270			rxn09650	
R_FORtppi	Formate transport via diffusion (cytoplasm to periplasm)	M_for_c <=> M_for_p				SBO:0000185	False	(G_b0904 or G_b2492)	cobra_0_bound	cobra_default_ub	FORtppi	META:TRANS-RXN-1			MNXR99620	29679	12483	rxn08526	R-HSA-6803255
R_PYRtex	Pyruvate transport via diffusion (extracellular to periplasm)	M_pyr_e <=> M_pyr_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	PYRtex	META:TRANS-RXN0-570			MNXR103384		12168	rxn09218	
R_SO4tex	Sulfate transport via diffusion (extracellular to periplasm)	M_so4_e <=> M_so4_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	SO4tex				MNXR104469	34985		rxn05238	R-DME-8875871
R_SUCCtex	Succinate transport via diffusion (extracellular to periplasm)	M_succ_e <=> M_succ_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b1377 or G_b2215)	cobra_default_lb	cobra_default_ub	SUCCtex	META:TRANS-RXN0-552			MNXR104619			rxn09271	
R_GRXR	Glutaredoxin reductase	M_grxox_c + 2.0 M_gthrd_c <=> M_grxrd_c + M_gthox_c				SBO:0000176	False	(G_b1064 or G_b3610 or G_b1654 or G_b0849)	cobra_0_bound	cobra_default_ub	GRXR		1.8.4.2		MNXR100431			rxn08670	
R_RNDR1b	Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin)	M_adp_c + M_grxrd_c <=> M_dadp_c + M_grxox_c + M_h2o_c				SBO:0000176	False	((G_b2675 and G_b2676 and G_b1064) or (G_b2675 and G_b2676 and G_b3610) or (G_b0849 and G_b2675 and G_b2676) or (G_b2675 and G_b2676 and G_b1654))	cobra_0_bound	cobra_default_ub	RNDR1b				MNXR104061			rxn09231	
R_RNDR2b	Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin)	M_gdp_c + M_grxrd_c <=> M_dgdp_c + M_grxox_c + M_h2o_c				SBO:0000176	False	((G_b0849 and G_b2675 and G_b2676) or (G_b2675 and G_b2676 and G_b1064) or (G_b2675 and G_b2676 and G_b1654) or (G_b2675 and G_b2676 and G_b3610))	cobra_0_bound	cobra_default_ub	RNDR2b				MNXR104063			rxn09232	
